[20:55:09] [main/INFO]: ModLauncher running: args [--username, Fast_xiang, --version, 异界随行诗0.57, --gameDir, /storage/emulated/0/minecraft/versions/异界随行诗0.57, --assetsDir, /storage/emulated/0/minecraft/assets, --assetIndex, 5, --uuid, 3194f9fea6f93118be8b70008ebfef87, --accessToken, ❄❄❄❄❄❄❄❄, --clientId, ${clientid}, --xuid, ${auth_xuid}, --userType, msa, --versionType, Fold Craft Launcher, --width, 2320, --height, 1080, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.6, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[20:55:09] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.10-internal by N/A; OS Linux arch aarch64 version Android-12
[20:55:15] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[20:55:15] [main/INFO]: Trying GL version 4.6
[20:55:15] [main/INFO]: Requested GL version 4.6 got version 4.6
[20:55:15] [pool-2-thread-1/INFO]: GL info: Adreno (TM) 650 | OpenGL ES 3.2 GL version 4.0.0 MobileGlues 1.2.4, Swung0x48, BZLZHH, Tungsten
[20:55:15] [main/WARN]: Not found file zh_cn.json. Will skip I18n loading.
[20:55:15] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/storage/emulated/0/minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2375!/ Service=ModLauncher Env=CLIENT
[20:55:15] [main/INFO]: Reading patched classes
[20:55:18] [main/INFO]: Found mod file 0Pack2Reload-Forge-1.20.1-1.0.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file 1.20.1-maid_storage_manager-1.12.15.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file 1.20.1-maid_useful_task-1.3.6.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file [forge]ctov-3.4.12.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file [皮肤]CustomSkinLoader_ForgeV2-14.21.2.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file animationjs-1.20.1-0.1.0.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file appleskin-forge-mc1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Aquaculture-1.20.1-2.5.5.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.4.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
